Component Type,System Type,Brand Name,Number Of Phases,Power Rating (kVA),Number of Inputs,Max Input Current per Input (A),Number of MPPT,Max Input Current per MPPT (A),Max Isc per MPPT (A),Max DC Input Voltage per MPPT (V),Min Operating Voltage Range (V),Max Operating Voltage Range (V),Rated Input Voltage (V),Description,Notes,Supplier,Updated,Unit Cost
Inverter,Grid?Tie,Sigenergy,3,25,3,,3,20,,1000,125,950,,"SigenStor Inverter 25,0kW Three Phase",,Heroldts,12 June 2025,R52 790.00
Inverter,Grid?Tie,Sigenergy,3,30,4,,4,20,,1000,125,950,,"SigenStor Inverter 30,0kW Three Phase",,Heroldts,12 June 2025,R55 250.00
Inverter,Hybrid,Sigenergy,3,50,5,,5,30,,1000,180,950,,Sigen Hybrid Inverter Off Grid 50kW Three Phase,,Heroldts,07 July 2025,R73 650.00
Inverter,Hybrid,Sigenergy,3,110,10,,10,30,,1000,180,950,,Sigen Hybrid Inverter Off Grid 110kW Three Phase,,Heroldts,07 July 2025,R100 650.00
Inverter,Grid?Tie,SMA,3,110,24,,12,26,,1100,500,800,,SMA CORE-2 STP 110-60 AFCI 3Ph Inverter,,Menlo,22 May 2025,R77 812.54
Inverter,Grid?Tie,Solar MD,3,140,,,,,,,,,,Solar MD SS7020 - HV 200.2 kWh (14x14.3kWh),,IBC,22 May 2025,R565 391.69
Inverter,Grid?Tie,Solar MD,3,150,,,,,,,,,,Solar MD SS7021 - HV 214.5kWh (15 x 14.3kWh),,IBC,22 May 2025,R602 943.03
Inverter,Grid?Tie,Solar MD,3,160,,,,,,,,,,Solar MD SS7023 - HV 228.8kWh (16 x 14.3kWh),,IBC,22 May 2025,R640 494.37
Inverter,Hybrid,Sunsynk,1,3.6,1,,1,15.7,,450,120,450,,Sunsynk 3.6 kW 1P Hybrid 48V,,No price,02 July 2025,R18 116.17
Inverter,Hybrid,Sunsynk,1,3.6,1,,1,15.7,,450,120,450,,Sunsynk 3.6 kW 1P Hybrid 48V + 3.84 kWh Battery Pack,,ARB - WHILE STOCK LASTS,10 March 2025,R26 600.00
Inverter,Hybrid,Sunsynk,1,5,1,,1,15.7,,450,120,450,,Sunsynk 5kW 1P Hybrid 48V,,ARB - New,02 July 2025,R18 453.79
Inverter,Hybrid,Sunsynk,1,5,1,,1,15.7,,450,120,450,,Sunsynk 5kW 1P Hybrid 48V Compact,,ARB,10 June 2025,R19 193.96
Inverter,Hybrid,Sunsynk,1,6,2,,2,15,,450,120,400,,Sunsynk 6kw Lynks Inverter,,ARB,02 July 2025,R14 179.57
Inverter,Hybrid,Sunsynk,1,8,2,,2,22,,500,125,450,,Sunsynk 8kW 1P Hyb Inv 48v Incl Wifi,,ARB,02 July 2025,R23 341.06
Inverter,Hybrid,Sunsynk,1,8,2,,2,22,,500,125,450,,Sunsynk 8kw Lynks Inverter,,ARB R,02 July 2025,R19 269.87
Inverter,Hybrid,Sunsynk,1,10,2,,2,22,,500,125,450,,Sunsynk 10kW 1P Hybrid PV Inverter 48v C/W Wifi Dongle IP65,,ARB,02 July 2025,R33 250.54
Inverter,Hybrid,Sunsynk,1,12,3,,2,22,,500,125,450,,Sunsynk 12kW 1P Hybrid 48V,,ARB,02 July 2025,R36 965.37
