Tariff,Tariff Category,Code,Matrix Code,High-Peak,High-Standard,High-Off Peak,Low-Peak,Low-Standard,Low-Off Peak,Energy Charge Block 1 [c/kWh],Energy Charge Block 2 [c/kWh],Energy Charge [c/kWh],Ancillary Service Charge [c/kWh],Network Demand Charge [c/kWh],"Network demand charge, Ancillary service charge and retail [c/kWh]",Network Capacity Charge [R/POD/day],Service and Administration Charge [R/POD/day]
Homepower Bulk,Local Authority,Homepower Bulk_Local Authority,HB01Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homepower 1,Local Authority,Homepower 1_Local Authority,H101Y,0,0,0,0,0,0,276.641332,436.808548,0,0,0,0,11.833316,0
Homepower 2,Local Authority,Homepower 2_Local Authority,H201Y,0,0,0,0,0,0,276.641332,425.85466,0,0,0,0,22.197208,0
Homepower 3,Local Authority,Homepower 3_Local Authority,H301Y,0,0,0,0,0,0,276.641332,425.85466,0,0,0,0,45.86384,0
Homepower 4,Local Authority,Homepower 4_Local Authority,H401Y,0,0,0,0,0,0,276.641332,444.845852,0,0,0,0,7.258064,0
Homelight 20A,Local Authority,Homelight 20A_Local Authority,HL2001Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homelight 60A,Local Authority,Homelight 60A_Local Authority,HL6001Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landrate 1,Local Authority,Landrate 1_Local Authority,L101Y,0,0,0,0,0,0,0,0,240.462332,0.912824,59.2779,0,63.307684,51.808328
Landrate 2,Local Authority,Landrate 2_Local Authority,L201Y,0,0,0,0,0,0,0,0,240.462332,0.912824,59.2779,0,97.29368,51.808328
Landrate 3,Local Authority,Landrate 3_Local Authority,L301Y,0,0,0,0,0,0,0,0,240.462332,0.912824,59.2779,0,155.591964,51.808328
Landrate 4,Local Authority,Landrate 4_Local Authority,L401Y,0,0,0,0,0,0,0,0,519.36346,0.912824,59.2779,0,50.416828,0
Landrate Dx,Local Authority,Landrate Dx_Local Authority,Ld01Y,0,0,0,0,0,0,0,0,0,0,0,0,0,112.110372
Landlight 20A,Local Authority,Landlight 20A_Local Authority,Lt2001Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landlight 60A,Local Authority,Landlight 60A_Local Authority,Lt6001Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Lighting 24 Hours,Local Authority,Public Lighting 24 Hours_Local Authority,Pu01Y,0,0,0,0,0,0,0,0,261.201248,0,0,0,0,0
Public Lighting All Night,Local Authority,Public Lighting All Night_Local Authority,Pa01Y,0,0,0,0,0,0,0,0,195.066036,0,0,0,0,0
Public Lighting Urban Fixed,Local Authority,Public Lighting Urban Fixed_Local Authority,Pt01Y,0,0,0,0,0,0,0,0,0,0,0,0,0,12.824064
